CAMILOOO;2025-03-29T22:13:10.839616;
CAMILOOO;2025-03-29T22:13:40.985627300;AS
CAMILOOO;2025-03-29T22:14:12.222518900;
CAMILOOO;2025-03-29T22:14:39.216826100;SA
CAMILOOOa;2025-03-29T22:15:20.136027400;
CAMILOOO;2025-03-29T22:24:49.893245400;
CAMILOOO;2025-03-29T22:30:16.898591900;
CAMILOOO;2025-04-01T15:13:56.064052600;rdsfg
Sergiooo;null;null
Sergiooo;2025-04-01T19:04:56.358030100;dws
Sergiooo;2025-04-01T19:43:21.309839200;ghgh
CAMILOOO;2025-04-02T20:23:49.321949100;Cuchara
CAMILOOO;2025-04-02T20:24:24.464165200;Vajilla
CAMILOOO;2025-04-02T20:25:15.224784300;Guante Cocina
CAMILOOO;2025-04-02T20:26:18.360618500;Tabla Cocina
CAMILOOO;2025-04-02T20:27:38.808396600;Cepillo Electrico
CAMILOOO;2025-04-02T20:28:27.080309;Espejo Circular
CAMILOOO;2025-04-02T20:29:02.159899300;Cortina Baño
CAMILOOO;2025-04-02T20:30:13.095947;Regadera Ducha
CAMILOOO;2025-04-02T20:30:49.472170100;Crema de manos
CAMILOOO;2025-04-02T20:34:30.983759300;Microondas
CAMILOOO;2025-04-02T20:35:24.335536200;Televisor 54 Pulgadas
CAMILOOO;2025-04-02T20:37:09.431817900;Ventilador
CAMILOOO;2025-04-02T20:38:32.998559300;Aire Acondicionado
CAMILOOO;2025-04-02T20:39:13.607228800;Aspiradora
CAMILOOO;2025-04-02T20:40:45.448637600;Marcadores
CAMILOOO;2025-04-02T20:41:25.958981100;Tablero
CAMILOOO;2025-04-02T20:42:10.845983100;Lapices
CAMILOOO;2025-04-02T20:42:38.110056800;Resma de papel
CAMILOOO;2025-04-02T20:43:33.853975800;Cosedora
CAMILOOO;2025-04-02T20:44:27.869801700;Control 
CAMILOOO;2025-04-02T20:45:12.174432300;Audifonos
CAMILOOO;2025-04-02T20:46:15.573716200;Xbox series X
CAMILOOO;2025-04-02T20:47:24.133266500;Play 5 slim
CAMILOOO;2025-04-02T20:48:13.773932800;Mario Kingdom
CAMILOOO;2025-04-02T20:48:55.437836100;Guayos
CAMILOOO;2025-04-02T20:49:32.901330700;Guante BOX
CAMILOOO;2025-04-02T20:50:04.005052400;Medias antideslizantes
CAMILOOO;2025-04-02T20:51:06.013429900;Jersey NBA
CAMILOOO;2025-04-02T20:51:58.765615100;Balon voleibol

